type,firstName,lastName,companyName,industry,primaryEmail,primaryPhone,primaryStreet,primaryStreet2,primaryCity,primaryState,primaryZip,spouseId,childIds,householdId,contactPersonIds,notes,imageId,_json
person,Peter,Parker,,,pparker@yahoo.com,+13025456789,123 Main St,Apt. 101,Anytown,OH,44144,,,56967bb6-4c55-4ccb-b378-922e8ea0c726,,,,"{""id"":""3b30f733-e7db-4fb0-ab89-9938ec8457a9"",""type"":""person"",""firstName"":""Peter"",""lastName"":""Parker"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[{""address"":""pparker@yahoo.com"",""isPrimary"":true,""label"":""Personal""}],""phones"":[{""number"":""+13025456789"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Mobile""}],""addresses"":[{""street"":""123 Main St"",""city"":""Anytown"",""state"":""OH"",""zip"":""44144"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""Apt. 101""}],""spouseId"":"""",""childIds"":[],""householdId"":""56967bb6-4c55-4ccb-b378-922e8ea0c726"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Matt,Murdock,,,,,123 Main St,Apt. 101,Anytown,OH,44144,,,56967bb6-4c55-4ccb-b378-922e8ea0c726,,,,"{""id"":""393f6e0f-6655-4ec8-ad38-27b5864df7cb"",""type"":""person"",""firstName"":""Matt"",""lastName"":""Murdock"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""123 Main St"",""city"":""Anytown"",""state"":""OH"",""zip"":""44144"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""Apt. 101""}],""spouseId"":"""",""childIds"":[],""householdId"":""56967bb6-4c55-4ccb-b378-922e8ea0c726"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Scott,Summers,,,,,1 X-Men Road,,Westchester,NY,10707,c9564af7-b100-4c82-a6ab-82a255abe875,5129ed14-9f22-497c-a2b8-da42f4d9d38f;8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,0a22aaf4-4b59-4a41-abd2-09170116a31d,"{""id"":""0a22aaf4-4b59-4a41-abd2-09170116a31d"",""type"":""person"",""firstName"":""Scott"",""lastName"":""Summers"",""gender"":""Male"",""birthday"":""1981-11-12"",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""""}],""spouseId"":""c9564af7-b100-4c82-a6ab-82a255abe875"",""childIds"":[""5129ed14-9f22-497c-a2b8-da42f4d9d38f"",""8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b""],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"

--- HOUSEHOLDS ---
id,name,street,street2,city,state,zip,country,memberIds,primaryContactId,imageId,_json
8d632501-fae2-4ded-9b89-494dfbb933ef,Avengers Family,1000 Avengers Way,,New York,NY,10019,United States,c035c78c-01b8-47da-8696-eb8625cff591;aa18b9eb-0005-498e-b42e-e25a14532c19;55d29a13-43a8-4fc2-935e-55f52b5d0c36,c035c78c-01b8-47da-8696-eb8625cff591,,"{""id"":""8d632501-fae2-4ded-9b89-494dfbb933ef"",""name"":""Avengers Family"",""address"":{""street"":""1000 Avengers Way"",""street2"":"""",""city"":""New York"",""state"":""NY"",""zip"":""10019"",""country"":""United States"",""isPrimary"":true,""label"":""Household""},""memberIds"":[""c035c78c-01b8-47da-8696-eb8625cff591"",""aa18b9eb-0005-498e-b42e-e25a14532c19"",""55d29a13-43a8-4fc2-935e-55f52b5d0c36""],""primaryContactId"":""c035c78c-01b8-47da-8696-eb8625cff591""}"
56967bb6-4c55-4ccb-b378-922e8ea0c726,Parker Family,123 Main St,Apt. 101,Anytown,OH,44144,United States,3b30f733-e7db-4fb0-ab89-9938ec8457a9;d8586386-7130-4479-8744-f5c46d159376;393f6e0f-6655-4ec8-ad38-27b5864df7cb,3b30f733-e7db-4fb0-ab89-9938ec8457a9,56967bb6-4c55-4ccb-b378-922e8ea0c726,"{""id"":""56967bb6-4c55-4ccb-b378-922e8ea0c726"",""name"":""Parker Family"",""address"":{""street"":""123 Main St"",""city"":""Anytown"",""state"":""OH"",""zip"":""44144"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""Apt. 101""},""memberIds"":[""3b30f733-e7db-4fb0-ab89-9938ec8457a9"",""d8586386-7130-4479-8744-f5c46d159376"",""393f6e0f-6655-4ec8-ad38-27b5864df7cb""],""primaryContactId"":""3b30f733-e7db-4fb0-ab89-9938ec8457a9""}"
1f6b18a4-f198-47b9-9d14-165b5a503b15,Star Trek Family,1111 Enterprise Drive,,Miami,FL,33101,United States,622ae908-0b2e-4d8c-bd76-dcced212b641;57fdfa4d-b22a-4a35-810d-d652aaaa0216,622ae908-0b2e-4d8c-bd76-dcced212b641,,"{""id"":""1f6b18a4-f198-47b9-9d14-165b5a503b15"",""name"":""Star Trek Family"",""address"":{""street"":""1111 Enterprise Drive"",""street2"":"""",""city"":""Miami"",""state"":""FL"",""zip"":""33101"",""country"":""United States"",""isPrimary"":true,""label"":""Household""},""memberIds"":[""622ae908-0b2e-4d8c-bd76-dcced212b641"",""57fdfa4d-b22a-4a35-810d-d652aaaa0216""],""primaryContactId"":""622ae908-0b2e-4d8c-bd76-dcced212b641""}"
1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,Summers Family,1 X-Men Road,,Westchester,NY,10707,United States,c9564af7-b100-4c82-a6ab-82a255abe875;5129ed14-9f22-497c-a2b8-da42f4d9d38f;0a22aaf4-4b59-4a41-abd2-09170116a31d;8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b;5170b729-86f4-4f60-bffd-260c59160639,c9564af7-b100-4c82-a6ab-82a255abe875,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,"{""id"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""name"":""Summers Family"",""address"":{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household""},""memberIds"":[""c9564af7-b100-4c82-a6ab-82a255abe875"",""5129ed14-9f22-497c-a2b8-da42f4d9d38f"",""0a22aaf4-4b59-4a41-abd2-09170116a31d"",""8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b"",""5170b729-86f4-4f60-bffd-260c59160639""],""primaryContactId"":""c9564af7-b100-4c82-a6ab-82a255abe875""}"
